Marketplace,Category,Brand,Name,Old_Price_Reais,Old_Price_Cents,New_Price_Reais,New_Price_Cents,Reviews_Rating,Reviews_Total,Ad_Link
Mercado Livre,Joias e Relógios > Relógios > De Pulso,,Relógio Digital Feminino Masculino Adulto Infantil Esporte,51,90,5,09,4.0,(347),https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=HZT863VmZyQakocCFITI%2BUBL%2B8K0sOharGdyZlWfT5fAWdn8D4aYk4Ya%2FFsF1mzj8Jnw6HCPvqzEHshSPLrkJiGGZadjHrTQi8yqCQvceZlmu7l%2F8AsASrD3O%2BsQCDAetBWzw6tf8norZNgSWN%2FLPa%2BoXRD65n2mlY%2B2CCda6hVraGd2RyOUyi6ObUdkJY9uSNq5IJYo96gOc1pYDmSw7kckLxaeNenHvPTomdL4Wg0VOgksmdAbfImMqc7OSo1n1wGku3heOW2brlOTWKSI4TctNpa%2BbXMVs06B25VFwa74so83l%2BushtM740pZcwtC9JQIXx6QeybueAahnJ4w%2BtgxAYN6q%2B3IQnIc8IUrXEQ0fYzncGh8Uj0mKMgqm1ILyxorYwgnwFnPuNQ19BkFUoGVdtD2OeY%2FHe%2Fx2pMkl5PXO8vW5s2mUyyHVKbbQKbO6gcedPFKJBjcd4ZeieWHV9NW7da1qCgiWeAtZTn5vZq0pH06qgPSQsbSMfmsB7KU7DcQT5TqPWivrnDaZs5%2BG%2F38yOAvU2DB0ohlbqd35cG0iZGZQaLkRP1761j%2Bla0HSxCtbO2tWdI%2FMU%2FNBImYwLk6AZUNuHRvX8aiGYzyhufba5MwqkX8z16BZ4KZ4MBbq5s1tamigoU2Je2GVQ1Drl33RM7FWrqsInhHDcNtsMTPfUQwfJpYK0whOhSixkwVW7a%2F7ED4rziNOKPX5Ss2I65aP59r5wUgkz05E7yOtLikXPhC%2B4JdwFwaXXLyaJlw2%2FUkh5A%2BF4jHhepcLGXsxxDWJ6sebAiUKscZK4StpYIO9PEEqAEcVezEygLWaBJa2jquoGsN4i5ukFaJ6dG1qHZmHLAq0ZLuMQXA%2FpAj%2FwA%3D&rb=x#polycard_client=search-nordic&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,,Relógio Preto Masculino De Luxo Casual Prova D´água Barato,78,90,7,73,4.6,(317),https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2B3oSjbME8byEaOSHuRk6UjIAEg%2F9PNwLWB03jweH8hognZ1U1%2BokLidDsQPnBY%2BWeD7aC1ERerXHB8v8yW6KbNI%2F31%2FSm9WfCsdQtpXFtOOCUjm%2FmFq8OlSK1xGuWB5HKSR41VoOWUeJxdHdO3xQCtln%2BZn1sDv%2BFYLs37U7o3uqj4mhNInr3eDlUU10HL8A9R6SYyrKTLU21O%2FtoUeuQUAdMxSJuCdqB7BwgOU1e0KVzTN62RaV8j0q9KNQ8StgLzrC1Rz9pOI9xu91eL2smjZVgjNF6xA1FwqpcEWpnJje3rWvaYiP5XJYMhiiOm0kjoNYR%2B2nZgJhipY%2B%2B6L0URFq7e0qS9N588mZeeMDtX881kpa1%2FjFFg%2FFHZTGHgta6MZWjkvrg7wozdbCs3em7%2F5EFSjxX3rVKnI6QHA9ujbSv1HgOmDSpHNpIVImtmHV8WCyAwM0%2FlcGg%2FMYxNX7MMbUnjs%2FBV9c3yWUq83meMxOhWcJn5o54W8wbHkEZZnvKIUjdBTGbShAhG5NdcFQa%2FfYEusWNtkJTvlR9PsjyXzjS0%2BU0M41Aajk8yAan9%2Br%2FTsdvhq5BjZvQ9oSlVgU1rbG571qiqQJQZeMAwoY879F59jcTuvG3Cm8%2FG37%2BoW3W7mKq%2BBB1v2vBMZpscq3dl2IlW8bdH6BRROb%2FDVz%2F9wmILoL9Lx1Szo1lrGIXjPzERgAiWyL5KXypTQoYIA52tK5apWmim1TYaDkRgMVqnuwewjhrbprDcJc33bmsMziHBBDeJPLYJVTp3Y8aX36gnxmHKhcKUfmOTpIwGS%2FceiDmDR0GW72J14%2BsXYkCcDFcYt%2F7g35CegNVKdR1f3hLB9MDQLCMUqnW1S0PBDnRCI%3D&rb=x#polycard_client=search-nordic&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Masculino Digital Illuminator W-218h-3avdf Correia Preta,275,36,118,40,4.8,(4777),https://www.mercadolivre.com.br/relogio-casio-masculino-digital-illuminator-w-218h-3avdf-correia-preta/p/MLB18115559#polycard_client=search-nordic&wid=MLB5233086282&sid=search&searchVariation=MLB18115559&position=3&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Collection W800HG 9AVDF Preto - Mostrador dourado,247,70,159,60,4.8,(1262),https://www.mercadolivre.com.br/relogio-casio-collection-w800hg-9avdf-preto-mostrador-dourado/p/MLB17425094#polycard_client=search-nordic&wid=MLB3384847017&sid=search&searchVariation=MLB17425094&position=4&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,POEDAGAR,Relógio luminoso clássico Poedagar com fundo azul de calendário de aço inoxidável,122,88,12,05,4.7,(1064),https://www.mercadolivre.com.br/relogio-luminoso-classico-poedagar-com-fundo-azul-de-calendario-de-aco-inoxidavel/p/MLB35778747#polycard_client=search-nordic&wid=MLB3709235171&sid=search&searchVariation=MLB35778747&position=7&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Masculino W-96h-1bvdf Correia Preto Bisel Preto Fundo Cinza,229,23,199,53,4.8,(142),https://www.mercadolivre.com.br/relogio-casio-masculino-w-96h-1bvdf-correia-preto-bisel-preto-fundo-cinza/p/MLB24884361#polycard_client=search-nordic&wid=MLB3570889999&sid=search&searchVariation=MLB24884361&position=5&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CHAMPION,Relógio Masculino Champion Executivo Couro Luxo Original Cor Da Correia Preto Cor Do Bisel Dourado Cor Do Fundo Preto,229,75,171,84,4.7,(238),https://www.mercadolivre.com.br/relogio-masculino-champion-executivo-couro-luxo-original-cor-da-correia-preto-cor-do-bisel-dourado-cor-do-fundo-preto/p/MLB21861895#polycard_client=search-nordic&wid=MLB3549963797&sid=search&searchVariation=MLB21861895&position=13&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,NIBOSI,Relógio de pulso Nibosi NI2309 com corria de aço inoxidável cor dourado - fondo preto,167,37,16,,4.7,(3007),https://www.mercadolivre.com.br/relogio-de-pulso-nibosi-ni2309-com-corria-de-aco-inoxidavel-cor-dourado-fondo-preto/p/MLB17776106#polycard_client=search-nordic&wid=MLB3537646225&sid=search&searchVariation=MLB17776106&position=17&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,ORIENT,Relógio Pulso Masculino Orient Casual Moderno Prova D'água Cor da correia Prateado Cor do bisel Prateado Cor do fundo Preto C/ Vermelho,442,09,374,99,4.8,(143),https://www.mercadolivre.com.br/relogio-pulso-masculino-orient-casual-moderno-prova-dagua-cor-da-correia-prateado-cor-do-bisel-prateado-cor-do-fundo-preto-c-vermelho/p/MLB23344323#polycard_client=search-nordic&wid=MLB3359836221&sid=search&searchVariation=MLB23344323&position=9&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,POEDAGAR,Relógio Poedagar De Luxo Com Caixa Correia Prateado Bisel Prateado Fundo Verde,125,25,12,,4.7,(1064),https://www.mercadolivre.com.br/relogio-poedagar-de-luxo-com-caixa-correia-prateado-bisel-prateado-fundo-verde/p/MLB35813646#polycard_client=search-nordic&wid=MLB5130857762&sid=search&searchVariation=MLB35813646&position=6&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
